getAttackTarget,func_70638_az
getLivingSound,func_70639_aQ
getMaxSpawnedInChunk,func_70641_bl
playLivingSound,func_70642_aH
getAITarget,func_70643_av
isPotionActive,func_70644_a
onDeath,func_70645_a
getVerticalFaceSpeed,func_70646_bf
getSoundPitch,func_70647_i
canBreatheUnderwater,func_70648_aU
isAIEnabled,func_70650_aV
getActivePotionEffects,func_70651_bq
attackEntityAsMob,func_70652_k
knockBack,func_70653_a
getAge,func_70654_ax
applyArmorCalculations,func_70655_b
spawnExplosionParticle,func_70656_aK
setMoveForward,func_70657_f
getTotalArmorValue,func_70658_aO
setAIMoveSpeed,func_70659_e
getActivePotionEffect,func_70660_b
getNavigator,func_70661_as
isEntityUndead,func_70662_br
updateRotation,func_70663_b
jump,func_70664_aZ
damageEntity,func_70665_d
getPosition,func_70666_h
getCreatureAttribute,func_70668_bt
renderBrokenItemStack,func_70669_a
onNewPotionEffect,func_70670_a
getLookHelper,func_70671_ap
applyPotionDamageCalculations,func_70672_c
getDeathSound,func_70673_aS
clearActivePotions,func_70674_bp
damageArmor,func_70675_k
getLook,func_70676_i
getSwingProgress,func_70678_g
updatePotionEffects,func_70679_bo
getRNG,func_70681_au
decreaseAirSupply,func_70682_h
getJumpHelper,func_70683_ar
isPlayer,func_70684_aJ
canEntityBeSeen,func_70685_l
canAttackClass,func_70686_a
isPotionApplicable,func_70687_e
onFinishedPotionEffect,func_70688_c
getAIMoveSpeed,func_70689_ay
addPotionEffect,func_70690_d
heal,func_70691_i
canDespawn,func_70692_ba
getExperiencePoints,func_70693_a
getHeldItem,func_70694_bm
onChangedPotionEffect,func_70695_b
getEntityToAttack,func_70777_m
setPathToEntity,func_70778_a
updateWanderPath,func_70779_j
isMovementCeased,func_70780_i
hasPath,func_70781_l
findPlayerToAttack,func_70782_k
getBlockPathWeight,func_70783_a
setTarget,func_70784_b
attackEntity,func_70785_a
isCourseTraversable,func_70790_a
setSlimeSize,func_70799_a
canDamagePlayer,func_70800_m
getSlimeParticle,func_70801_i
createInstance,func_70802_j
getJumpSound,func_70803_o
makesSoundOnLand,func_70804_p
getAttackStrength,func_70805_n
getJumpDelay,func_70806_k
makesSoundOnJump,func_70807_r
alterSquishAmount,func_70808_l
getSlimeSize,func_70809_q
isValidLightLevel,func_70814_o
teleportToEntity,func_70816_c
setCarryingData,func_70817_b
setScreaming,func_70819_e
teleportRandomly,func_70820_n
shouldAttackPlayer,func_70821_d
isScreaming,func_70823_r
getCarryingData,func_70824_q
teleportTo,func_70825_j
setCreeperState,func_70829_a
getPowered,func_70830_n
getCreeperFlashIntensity,func_70831_j
getCreeperState,func_70832_p
becomeAngryAt,func_70835_c
setBesideClimbableBlock,func_70839_e
isBesideClimbableBlock,func_70841_p
setPlayerCreated,func_70849_f
isPlayerCreated,func_70850_q
setHoldingRose,func_70851_e
getVillage,func_70852_n
getHoldRoseTick,func_70853_p
getAttackTimer,func_70854_o
setGrowingAge,func_70873_a
getGrowingAge,func_70874_b
resetInLove,func_70875_t
procreate,func_70876_c
isBreedingItem,func_70877_b
canMateWith,func_70878_b
isInLove,func_70880_s
setFleeceColor,func_70891_b
getSheared,func_70892_o
setSheared,func_70893_e
getRandomFleeceColor,func_70895_a
getFleeceColor,func_70896_n
setSaddled,func_70900_e
getSaddled,func_70901_n
getOwner,func_70902_q
setTamed,func_70903_f
setSitting,func_70904_g
getOwnerName,func_70905_p
isSitting,func_70906_o
playTameEffect,func_70908_e
isTamed,func_70909_n
setOwner,func_70910_a
setTameSkin,func_70912_b
getTameSkin,func_70913_u
getShadingWhileShaking,func_70915_j
setAngry,func_70916_h
getInterestedAngle,func_70917_k
isAngry,func_70919_bu
getTailRotation,func_70920_v
getWolfShaking,func_70921_u
getShakeAngle,func_70923_f
setRecipes,func_70930_a
getCustomer,func_70931_l_
setCustomer,func_70932_a_
useRecipe,func_70933_a
getRecipes,func_70934_b
setProfession,func_70938_b
setPlaying,func_70939_f
isTrading,func_70940_q
isMating,func_70941_o
generateRandomParticles,func_70942_a
isPlaying,func_70945_p
getProfession,func_70946_n
setMating,func_70947_e
addDefaultEquipmentAndRecipies,func_70950_c
attackEntityFromPart,func_70965_a
setNewTarget,func_70967_k
updateDragonEnderCrystal,func_70969_j
collideWithEntities,func_70970_a
attackEntitiesInList,func_70971_b
destroyBlocksInAABB,func_70972_a
simplifyAngle,func_70973_b
getMovementOffsets,func_70974_a
createEnderPortal,func_70975_a
shouldHeal,func_70996_bM
getBedLocation,func_70997_bJ
interactWith,func_70998_m
wakeUpPlayer,func_70999_a
addMovementStat,func_71000_j
onItemPickup,func_71001_a
displayGUIEnchantment,func_71002_c
respawnPlayer,func_71004_bE
getInventoryEnderChest,func_71005_bN
displayGUIChest,func_71007_a
setItemInUse,func_71008_a
onCriticalHit,func_71009_b
updateItemUse,func_71010_c
getItemInUse,func_71011_bu
joinEntityItemWithWorld,func_71012_a
addMountedMovementStat,func_71015_k
sendPlayerAbilities,func_71016_p
sleepInBedAt,func_71018_a
dropPlayerItemWithRandomChoice,func_71019_a
addExhaustion,func_71020_j
addExperience,func_71023_q
getFoodStats,func_71024_bL
isPlayerFullyAsleep,func_71026_bH
travelToDimension,func_71027_c
destroyCurrentEquippedItem,func_71028_bD
triggerAchievement,func_71029_a
displayGUIMerchant,func_71030_a
setGameType,func_71033_a
stopUsingItem,func_71034_by
onItemUseFinish,func_71036_o
getScore,func_71037_bA
swingItem,func_71038_i
isUsingItem,func_71039_bw
dropOneItem,func_71040_bB
clearItemInUse,func_71041_bz
canEat,func_71043_e
collideWithPlayer,func_71044_o
getCurrentEquippedItem,func_71045_bC
onEnchantmentCritical,func_71047_c
displayGUIBook,func_71048_c
clonePlayer,func_71049_a
xpBarCap,func_71050_bK
getBedOrientationInDegrees,func_71051_bG
getItemInUseCount,func_71052_bv
closeScreen,func_71053_j
verifyRespawnCoordinates,func_71056_a
getItemInUseDuration,func_71057_bx
displayGUIWorkbench,func_71058_b
attackTargetEntityWithCurrentItem,func_71059_n
getSleepTimer,func_71060_bI
resetHeight,func_71061_d_
setSpawnChunk,func_71063_a
addStat,func_71064_a
isInBed,func_71065_l
sendContainerAndContentsToPlayer,func_71110_a
sendSlotContents,func_71111_a
sendProgressBarUpdate,func_71112_a
updateHeldItem,func_71113_k
getPlayerIP,func_71114_r
addSelfToInternalCraftingInventory,func_71116_b
getNextWindowId,func_71117_bO
setPlayerHealthUpdated,func_71118_n
sendContainerToPlayer,func_71120_a
getServerForPlayer,func_71121_q
handleFalling,func_71122_b
mountEntityAndWakeUp,func_71123_m
getEquipmentInSlot,func_71124_b
onUpdateEntity,func_71127_g
closeContainer,func_71128_l
setPlayerSPHealth,func_71150_b
getFOVMultiplier,func_71151_f
setXPStats,func_71152_a
isBlockTranslucent,func_71153_f
sendChatMessage,func_71165_d
sendMotionUpdates,func_71166_b
getCommandManager,func_71187_D
setAllowPvp,func_71188_g
setHostname,func_71189_e
updateTimeLightAndEntities,func_71190_q
setBuildLimit,func_71191_d
setUserMessage,func_71192_d
allowSpawnMonsters,func_71193_K
canCreateBonusChest,func_71194_c
getUserMessage,func_71195_b_
startServer,func_71197_b
logDebug,func_71198_k
isHardcore,func_71199_h
serverIsInRunLoop,func_71200_ad
logSevere,func_71201_j
getConfigurationManager,func_71203_ab
setDemo,func_71204_b
setMOTD,func_71205_p
shareToLAN,func_71206_a
getBuildLimit,func_71207_Z
setServerPort,func_71208_b
getFile,func_71209_f
setConfigurationManager,func_71210_a
getServerHostname,func_71211_k
getAllUsernames,func_71213_z
getServerOwner,func_71214_G
getServerPort,func_71215_F
outputPercentRemaining,func_71216_a_
tick,func_71217_p
worldServerForDimension,func_71218_a
isPVPEnabled,func_71219_W
getCanSpawnNPCs,func_71220_V
getWorldName,func_71221_J
initialWorldChunkLoad,func_71222_d
enableProfiling,func_71223_ag
setServerOwner,func_71224_l
canStructuresSpawn,func_71225_e
finalTick,func_71228_a
setOnlineMode,func_71229_d
addServerInfoToCrashReport,func_71230_b
isFlightAllowed,func_71231_X
getCurrentPlayerCount,func_71233_x
getPort,func_71234_u
setGameType,func_71235_a
logWarning,func_71236_h
convertMapIfNeeded,func_71237_c
getDataDirectory,func_71238_n
isDebuggingEnabled,func_71239_B
systemExitNow,func_71240_o
isServerStopped,func_71241_aa
isDemo,func_71242_L
clearCurrentTask,func_71243_i
logInfo,func_71244_g
setAllowFlight,func_71245_h
setWorldName,func_71246_n
loadAllWorlds,func_71247_a
getPossibleCompletions,func_71248_a
getMinecraftVersion,func_71249_w
getKeyPair,func_71250_E
setCanSpawnAnimals,func_71251_e
handleRConCommand,func_71252_i
setKeyPair,func_71253_a
getActiveAnvilConverter,func_71254_M
getAllowNether,func_71255_r
startServerThread,func_71256_s
setCanSpawnNPCs,func_71257_f
getPlugins,func_71258_A
getTickCounter,func_71259_af
stopServer,func_71260_j
setFolderName,func_71261_m
isDedicatedServer,func_71262_S
initiateShutdown,func_71263_m
isSinglePlayer,func_71264_H
getGameType,func_71265_f
isServerInOnlineMode,func_71266_T
saveAllWorlds,func_71267_a
getCanSpawnAnimals,func_71268_U
getFolderName,func_71270_I
deleteWorldAndStopServer,func_71272_O
getMOTD,func_71273_Y
getMotd,func_71274_v
getMaxPlayers,func_71275_y
getServer,func_71276_C
getHostname,func_71277_t
isServerRunning,func_71278_l
getGuiEnabled,func_71279_ae
saveProperties,func_71326_a
getIntProperty,func_71327_a
setProperty,func_71328_a
getSettingsFilename,func_71329_c
getStringProperty,func_71330_a
addPendingCommand,func_71331_a
getBooleanProperty,func_71332_a
executePendingCommands,func_71333_ah
getPublic,func_71344_c
setServerData,func_71351_a
toggleFullscreen,func_71352_k
loadWorld,func_71353_a
setDimensionAndSpawnPlayer,func_71354_a
isDemo,func_71355_q
isSingleplayer,func_71356_B
loadScreen,func_71357_I
getSaveLoader,func_71359_d
checkGLError,func_71361_d
stopIntegratedServer,func_71363_D
setIngameNotInFocus,func_71364_i
screenshotListener,func_71365_K
displayDebugInfo,func_71366_a
setServer,func_71367_a
getGLMaximumTextureSize,func_71369_N
resize,func_71370_a
launchIntegratedServer,func_71371_a
isFullScreen,func_71372_G
debugInfoEntities,func_71374_p
isFancyGraphicsEnabled,func_71375_t
displayCrashReport,func_71377_b
getPlayerUsageSnooper,func_71378_E
isAmbientOcclusionEnabled,func_71379_u
setIngameFocus,func_71381_h
isGuiEnabled,func_71382_s
updateDebugProfilerName,func_71383_b
startGame,func_71384_a
displayInGameMenu,func_71385_j
getSystemTime,func_71386_F
isIntegratedServerRunning,func_71387_A
getWorldProviderName,func_71388_o
startTimerHackThread,func_71389_H
scaledTessellator,func_71392_a
debugInfoRenders,func_71393_m
addGraphicsAndWorldToCrashReport,func_71396_d
freeMemory,func_71398_f
shutdown,func_71400_g
getIntegratedServer,func_71401_C
loadWorld,func_71403_a
crashed,func_71404_a
shutdownMinecraftApplet,func_71405_e
runTick,func_71407_l
getEntityDebug,func_71408_n
getMinecraft,func_71410_x
runGameLoop,func_71411_J
getFile,func_71497_f
getCauseStackTraceOrString,func_71498_d
addCrashSectionThrowable,func_71499_a
addCrashSectionCallable,func_71500_a
getDescription,func_71501_a
getCompleteReport,func_71502_e
getWittyComment,func_71503_h
populateEnvironment,func_71504_g
getCrashCause,func_71505_b
getSectionsInStringBuilder,func_71506_a
addCrashSection,func_71507_a
getCommandAliases,func_71514_a
processCommand,func_71515_b
addTabCompletionOptions,func_71516_a
getCommandName,func_71517_b
getCommandUsage,func_71518_a
